sno,broadcaster,channelName,lang,cost,genre,streamType,airtelChannelNum,dishTVChannelNum,sunDirectChannelNum,tataSkyChannelNum,d2hChannelNum
1,Spoorthi Communication Pvt. Ltd.,10 TV,"Telugu,English,All Indian Languages",0,,,,,,,
2,TRANSMEDIA SOFTWARE LIMITED,1st India Rajasthan (earlier TRANSMEDIA NEWS),"Marathi,Gujarati,Hindi Dialects",0,,,,,,,
3,LCGC Broadcasting (India) Private Ltd,6TV,"Telugu,Other Indian Regional Languages",0,,,,,,,
4,LCGC Broadcasting (India) Private Ltd,6TV Telangana,"Telugu,Other Indian Regional Languages",0,,,,,,,
5,Gokann International Media Pvt. Ltd,7S Music ( Earlier MAAS TV),All Indian Languages,0,,,,,,,
6,SKY NEWS MEDIA PRIVATE LIMITED,99 Percent (earlier CHANNEL NO.3),Telugu,0,,,,,,,
7,9X MEDIA PRIVATE LIMITED,9X,Hindi,0,,,,,,,
8,9X MEDIA PRIVATE LIMITED,9X JALWA (PHIR SE 9X),"Hindi,English,Bengali,All Indian Indian Schedule Language",0,,,,,,,
9,9X MEDIA PRIVATE LIMITED,9X JHAKAAS (9X MARATHI),Marathi,0,,,,,,,
10,PAUL ENTERTAINMENT PRIVATE LIMITED,9X TASHAN,Panjabi,0,,,,,,,
11,9X MEDIA PRIVATE LIMITED,9XM,"Hindi,English,Bengali,All Indian Indian Schedule Language",0,,,,,,,
12,9X MEDIA PRIVATE LIMITED,9XO (9XM VELVET),Hindi,0,,,,,,,
13,OPPORTUNITY MEDIA PRIVATE LIMITED,A TV,English,0,,,,,,,
14,STANDARD CORPORATION INDIA LIMITED,A1TV (EARLIER: STANDARD WORLD ),"Punjabi,English,Hindi",0,,,,,,,
15,MGK PRINTING WORKS PVT LTD,"AAHO MUSIC (earlier known as Vaa Movies Hindi, NAAPTOL HD before that ALL TIME)","English,Hindi,Punjabi,All India Regional Languages",0,,,,,,,
16,TV TODAY NETWORK LIMITED,AAJTAK DESH,"Bengali,English,Gujarati,Hindi,Kannada,Malayalam,Marathi,Oriya,Punjabi,Tamil,Telugu,Urdu",0,,,,,,,
17,Sahara India Commercial Corporation Ltd.,AALAMI SAHARA,Hindi,0,,,,,,,
18,TRANSMEDIA SOFTWARE LIMITED,AAMAR CINEMA (EARLIER TRANSMEDIA GUJARAT),"Marathi,Gujarati,Hindi Dialects",0,,,,,,,
19,DIKSAT TRANSWORLD LIMITED,AASEERVATHAM,Kannada,0,,,,,,,
20,VEDIC BROADCASTINGS LIMITED,AASTHA,Hindi,0,,,,,,,
21,VEDIC BROADCASTINGS LIMITED,AASTHA BHAJAN,"Hindi,English,All Indian Language",0,,,,,,,
22,VEDIC BROADCASTINGS LIMITED,Aastha Kannada,"Hindi,English,All Indian Language",0,,,,,,,
23,VEDIC BROADCASTINGS LIMITED,Aastha Tamil,"Hindi,English,All Indian Language",0,,,,,,,
24,VEDIC BROADCASTINGS LIMITED,Aastha Telugu,"Hindi,English,All Indian Language",0,,,,,,,
25,AAMODA BROADCASTING COMPANY PRIVATE LIMITED,ABN ANDHRA JYOTHI,Telugu,0,,,,,,,
26,ABP NEWS NETWORK PVT. LTD,ABP Ananda,Bengali,0,,,,,,,
27,ABP NEWS NETWORK PVT. LTD,ABP Andhra,"Telugu,Hindi",0,,,,,,,
28,ABP NEWS NETWORK PVT. LTD,"ABP ASMITA (Earlie ABP SAMACHAR GUJARATI, ABP Sanjha)",Gujarati,0,,,,,,,
29,ABP NEWS NETWORK PVT. LTD,ABP Majha,"Hindi,English,Marathi",0,,,,,,,
30,ABP NEWS NETWORK PVT. LTD,ABP NEWS (earlier STAR NEWS),"Hindi,English,Marathi",0,,,,,,,
31,ABP NEWS NETWORK PVT. LTD,ABP News HD,"English,Hindi",0,,,,,,,
32,ABP NEWS NETWORK PVT. LTD,ABP Sanjha,"Punjabi,Hindi,English",0,,,,,,,
33,ABP NEWS NETWORK PVT. LTD,ABP Tamil,"Tamil,Hindi",0,,,,,,,
34,Sky Star Entertainment Private Limited,ABZY COOL (earlier known as Skystar Bangla),"Hindi,English,All India Scheduled Languages,World Language",0,,,,,,,
35,Sky Star Entertainment Private Limited,ABZY DHAKAD (earlier known as Skystar Telugu),"Hindi,English,All India Scheduled Languages,World Language",0,,,,,,,
36,SNEH BROADCASTING NETWORKS PRIVATE LIMITED,Adhyatm (earlier ADHYATM BHAKTI),"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
37,Bhole Baba Real Estate Developers Pvt. Ltd.,AHSAS (Earlier Daati Ahsas),"Hindi,English,All Other Indian Schedules Languages",0,,,,,,,
38,SKY B (BANGLA) PRIVATE LTD,AKASH B,Bengali,0,,,,,,,
39,AJI INTERNATIONAL PRIVATE LIMITED,AL JAZEERA ENGLISH,English,0,,,,,,,
40,Live Today TV & Web Private Ltd,AM News-Spandan Maharashtrache,"Marathi,English,Hindi,All Indian Scheduled Languages",0,,,,,,,
41,AMRITA ENTERPRISES PRIVATE LIMITED,AMRITA,"Malayalam,Hindi,English",0,,,,,,,
42,Asnani Builders & Developers Ltd,Anaadi TV,All Indian Languages,0,,,,,,,
43,MEDIA GURU BROADCAST PVT LTD,ANANDAM (EARLIER :MY TV(MDP TV) ),"Hindi,All Other Indian Schedule Languages",0,,,,,,,
44,OMEGA BROADCAST PVT LTD,ANB News,"Hindi,English,All Other Indian Schedule Language",0,,,,,,,
45,ANGEL BROADCASTING NETWORK PVT. LTD,ANGEL TV,"Tamil,English,Other Indian Languages",0,,,,,,,
46,AAP MEDIA PVT.LTD.,ANJAN TV,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
47,SIGNET COMMUNICATIONS PRIVATE LIMITED,"AP 24x7 (earlier AP Times the News HQ, KHOJ INDIA )",All Indian Language,0,,,,,,,
48,SOBHAGAYA MEDIA PRIVATE LIMITED,APN (Axis Press Network ) [Earlier known as SOBHAGYA MITHILA/ SOBHAGYA TV],"Hindi,English,North Indian Languages",0,,,,,,,
