sno,broadcaster,channelName,lang,cost,genre,streamType,airtelChannelNum,dishTVChannelNum,sunDirectChannelNum,tataSkyChannelNum,d2hChannelNum
49,ARADANA BROADCASTING INTERNATIONAL PRIVATE LIMITED,ARADANA,"Telugu,English,Hindi",0,,,,,,,
50,AASTHA BROAD CASTING NETWORK LIMITED,ARIHANT,"Hindi,Gujrati,English",0,,,,,,,
51,PLANET E-SHOP HOLDINGS INDIA LIMITED,ARIRANG TV,English,0,,,,,,,
52,EASTERN MEDIA LIMITED,ARRA (Earlier known as MANJARI),All Indian Language,0,,,,,,,
53,SADHNA MEDIA NETWORK PVT. LTD.,Aryan TV National (earlier SADHNA ORISSA),Hindi,0,,,,,,,
54,ASIANET NEWS NETWORK PRIVATE LIMITED,ASIANET NEWS,Malayalam,0,,,,,,,
55,ROCKLAND MEDIA AND COMMUNICATION PRIVATE LIMITED,ASSAM TALKS (Earlier PRIME NEWS (ARYAN TV),"Hindi,English,All Other Scheduled Languages",0,,,,,,,
56,Airtravel Enterprises India Limited,ATE TV,"Malayalam,English",0,,,,,,,
57,AY BROADCAST FOUNDATION,Athmeeyayathra (earlier AY TV),"Malayalam,English",0,,,,,,,
58,CABSAT CHANNEL PRIVATE LIMITED,AUSTRALIA NETWORK,English,0,,,,,,,
59,Graphisads Private Limited,Awakening,"Hindi,English,Other Indian Scheduled Languages",0,,,,,,,
60,KAMADHENU TELEFILMS PRIVATE LIMITED,"Ayush TV (earlier AYURVEDA TV, SREE TV)","Hindi,Telugu,Kannada,Tamil,Malyalam,English",0,,,,,,,
61,PRABHATAM ADVERTISING PVT LTD,B News (earlier PRABHATAM NEWS MAHARASHTRA),"Hindi,English,,Other Indian Schedule Language",0,,,,,,,
62,ASHIRWAD TELENETWORK PRIVATE LIMITED,B4U Bhojpuri,"Hindi,English,Other North Indian Languages",0,,,,,,,
63,B4U TELEVISION NETWORK I PVT. LTD.,B4U Hitz,"Hindi,English",0,,,,,,,
64,B4U TELEVISION NETWORK I PVT. LTD.,B4U MOVIES,"English,Hindi",0,,,,,,,
65,B4U TELEVISION NETWORK I PVT. LTD.,B4U MUSIC,"English,Hindi",0,,,,,,,
66,B4U TELEVISION NETWORK I PVT. LTD.,B4U Plus,"English,Hindi",0,,,,,,,
67,Satcom Media Broadcast Pvt. Ltd,BALLE BALLE Non Stop Music (earlier Andy Haryana),"Hindi,English,All India Languages",0,,,,,,,
68,Cinema 24x7 Pvt. Ltd,Bangla Naaptol,"Hindi,English,All Scheduled Indian Languages",0,,,,,,,
69,MEDIA WORLDWIDE LIMITED,BANGLA TALKIES,"Bengali,Hinid,English,Multilingual",0,,,,,,,
70,Soft Tele Network Pvt Ltd.,Bangla Time (earlier known as Khabar Tej),"Hindi,English,All Indian Languages",0,,,,,,,
71,S.D.BANSAL IRON AND STEEL PVT. LTD.,BANSAL NEWS,"Hindi,English",0,,,,,,,
72,VIACOM 18 MEDIA PRIVATE LIMITED,BDM,"Hindi,English,Gujrati,Other Indian Regional",0,,,,,,,
73,VARUN MEDIA PRIVATE LIMITED,"BFLIX MOVIES (EARLIER ROYAL TV , GOOD LIFE )","Hindi,Enlish,All Other Indian Schedule Languages",0,,,,,,,
74,Sahasra Television Pvt. Ltd.,Bhaarat Today,Telugu,0,,,,,,,
75,RACHANA TELEVISION PRIVATE LIMITED,BHAKTHI,Telugu,0,,,,,,,
76,Sangeet Television Network Pvt. Ltd.,Bhaktisagar2 (Initially granted as Hastey Raho then changed to iConcerts),"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
77,TIME TODAY MEDIA NETWORK PRIVATE LIMITED,BHARAT SAMACHAR,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
78,A.R. RAIL VIKAS SERVICES PVT. LTD.,BHASKAR NEWS (AP 9),"Hindi,English,Marathi,All Other Indian Schedule Language",0,,,,,,,
79,ENTER 10 TELEVISION PRIVATE LIMITED,BHOJPURI CINEMA,All Indian Languages,0,,,,,,,
80,SADHNA MEDIA NETWORK PVT. LTD.,Bhojpuri Dhamaka Dishum (earlier MAX VISION [CHITRA (EARLIER SADHNA)],Hindi,0,,,,,,,
81,Zee Entertainment Enterprises Limited,BIG GANGA TALKIES (Earlier BIG GAURAV),Marathi,0,,,,,,,
82,Zee Entertainment Enterprises Limited,Big Magic HD (Earlier known as Big Magic UP /BIG BONDHON),Bangla,0,,,,,,,
83,Zee Entertainment Enterprises Limited,Big Magic Punjab (Earlier known Big Magic MP /BIG FAMILY),Hindi,0,,,,,,,
84,Zee Entertainment Enterprises Limited,"Big Thrill (earlier- Big RTL Thrill, Imagine Showbiz )","English,Hindi",0,,,,,,,
85,BIZZ NEWS PRIVATE LIMITED,BIZZ NEWS,Gujarati,0,,,,,,,
86,BLOOMBERG TELEVISION PRODUCTION SERVICES PVT. LTD.,BLOOMBERG TELEVISION ASIA-PACIFIC FEED,English,0,,,,,,,
87,BnB Entertainment Pvt. Ltd,BNB,"English,Hindi,Punjabi,All Indian Languages",0,,,,,,,
88,Box Cinemedia Services Pvt. Ltd.,Box Cinema,"Hindi,Other Indian Scheduled Languages",0,,,,,,,
89,Business Broadcast News Private Limited,BTVi,English,0,,,,,,,
90,YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,BULAND NEWS SAMACHAR PLUS (earlier LPS TV/ERA NEWS),"Hindi,English,Punjabi,All Other Indian Schedule Languages",0,,,,,,,
91,CALCUTTA TELEVISION NETWORK PRIVATE LIMITED,CALCUTTA NEWS (Earlier UTTAR BANGLA AKD & C BANGLA),Bengali,0,,,,,,,
92,CHRISTU KRUPA BROADCASTING PVT LTD,CALVARY TV,All Indian Languages,0,,,,,,,
93,CAPTAIN MEDIA PRIVATE LIMITED,CAPTAIN NEWS,"Tamil,English",0,,,,,,,
94,CAPTAIN MEDIA PRIVATE LIMITED,CAPTAIN TV,"Tamil,English",0,,,,,,,
95,SEVEN STAR SATELLITE PRIVATE LIMITED,CARE WORLD,Hindi,0,,,,,,,
96,Cauvery Power Trading Chennai Pvt. Ltd,Cauvery News,Tamil,0,,,,,,,
97,BBC GLOBAL NEWS INDIA PVT. LTD,CBeebies,English,0,,,,,,,
98,PLANETCAST MEDIA SERVICES LTD,CGTN (Earlier CCTV NEWS),English,0,,,,,,,
99,CHANNEL NO 2 NEWS MEDIA PVT LTD,CHANNEL 2,"Punjabi,Hindi,English,All Other Scheduled Indian Languages",0,,,,,,,
100,MCN INTERNATIONAL INDIA PVT LTD.,CHANNEL NEWS ASIA INTERNATIONAL,English,0,,,,,,,
101,PAL NEWS MEDIA PRIVATE LIMITED,CHANNEL NO.1,"Punjabi,Hindi,English",0,,,,,,,
102,WIN TV PRIVATE LIMITED,Channel win,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
103,CHARHDIKALA PUBLICATIONS PRIVATE LIMITED,CHARDIKALA TIME TV,"Punjabi,English,Other Indian Languages",0,,,,,,,
104,YASH TELE NETWORK PRIVATE LIMITED,"Chitrapat Marathi (Earlier PEARLS NEWS-MADHYA PRADESH- CHATITISGARH , earlier PEARLS KANNADA)","Hindi,English,All Other Indian Languages",0,,,,,,,
105,VIACOM 18 MEDIA PRIVATE LIMITED,Connected,"Hindi,English,,Other Indian Regional",0,,,,,,,
106,CALCUTTA TELEVISION NETWORK PRIVATE LIMITED,CTVN-AKD-PLUS,Bengali,0,,,,,,,
107,DIKSAT TRANSWORLD LIMITED,CUSINE TV,English,0,,,,,,,
108,IMAGE BROADCASTING INDIA PRIVATE LIMITED,CVR Health,"Telugu,English,Hindi,Kannada,Tamil,Malayalam",0,,,,,,,
109,IMAGE BROADCASTING INDIA PRIVATE LIMITED,CVR News,"Telugu,English,Hindi,Kannada,Tamil,Malayalam",0,,,,,,,
110,IMAGE BROADCASTING INDIA PRIVATE LIMITED,CVR News English,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
111,IMAGE BROADCASTING INDIA PRIVATE LIMITED,CVR Spiritual Om,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
112,HHP BROADCASTING SERVICES PRIVATE LIMITED,DABANGG,Hindi,0,,,,,,,
113,ENTER 10 TELEVISION PRIVATE LIMITED,Dangal (earlier ENTER 10 MOVIES ),"Hindi,English",0,,,,,,,
114,E24 Glamour Ltd,DARSHAN 24 (Earlier LIFE 24),"English,Hindi",0,,,,,,,
115,SATHYA DHARA COMMUNICATION PVT LTD,DARSHANA,Malayalam,0,,,,,,,
116,JSK MULTI PRODUCTS PVT. LTD,DAY N NIGHT NEWS,"Punjabi,Hindi,English",0,,,,,,,
117,UBJ BROADCASTING PRIVATE LIMITED,DHAMAAL,Hindi,0,,,,,,,
118,SAB GLOBAL ENTERTAINMENT MEDIA PVT. LTD.,DHAMMAL GUJJUU,Gujarati,0,,,,,,,
119,TELEONE CONSUMERS PRODUCT PVT. LTD.,"DHANSU (EARLIER MAHA CARTOON TV, EARLIER TELESHOP)","Hindi,English,All Others Indian Languages",0,,,,,,,
120,BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,DHOOM MUSIC BANGLA,Bengali,0,,,,,,,
121,VRL MEDIA LIMITED,DIGHVIJAY TV 24X 7 NEWS (EARLIER DIGHVIJAY TV),"Hindi,English,Kannada,All Indian Regional Language",0,,,,,,,
122,KRISHNA SHOWBIZ SERVICES PVT. LTD.,DILLAGIII,Hindi,0,,,,,,,
123,DISHA MEDIA PVT. LTD,DISHA NEWS CHANNEL (Earlier known as DHALIWAL TV),"Hindi,Punjabi,English Other Indian Languages",0,,,,,,,
124,DIVYA BROADCASTING NETWORK PRIVATE LIMITED,DIVYA,"Hindi,Punjabi,English,Urdu",0,,,,,,,
125,DILIP BUILDCON PRIVATE LIMITED,DNN,Hindi,0,,,,,,,
126,Squoosh Entertainment Pvt. Ltd.,Dream TV (Earlier Fata Fati),All Indian Languages,0,,,,,,,
127,DISCOVERY COMMUNICATION LIMITED,DSPORT HD,"English,Hindi Other Local Languages In India",0,,,,,,,
128,CABSAT CHANNEL PRIVATE LIMITED,DW TV,"German,English",0,,,,,,,
129,BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,DY 365,"Assamese,Hindi,English",0,,,,,,,
130,E24 Glamour Ltd,E 24,"English,Hindi",0,,,,,,,
131,VIACOM 18 MEDIA PRIVATE LIMITED,ECO-LUTION,"Hindi,English,,Other Indian Regional",0,,,,,,,
132,MEDIA GURU BROADCAST PVT LTD,EDU TV,"English,Hindi,All Other Indian Schedule Languages",0,,,,,,,
133,ENTER 10 TELEVISION PRIVATE LIMITED,Enter 10 Bangla,All Indian Languages,0,,,,,,,
134,ENTER 10 TELEVISION PRIVATE LIMITED,ENTERR 10,"Hindi,English",0,,,,,,,
135,IN10 Media Pvt. Ltd,Epic HD,"Hindi,English,All Scheduled Indian Languages",0,,,,,,,
136,CATVISION LTD,Euro News,"French,English,German,Spanish,Italian,Portuguese,Russian,Arabic",0,,,,,,,
137,J.S.D. DATA INFOTECH PRIVATE LIMITED,EXPRESS TV,All Indian Language,0,,,,,,,
138,Zee Media Corporation Limited,Ezmall.com,All Indian Scheduled Languages,0,,,,,,,
139,ENTER 10 TELEVISION PRIVATE LIMITED,"FAKT MARATHI (Earlier AAPLA TALKIES, It's CINEMA, (LUCK TV)",All Indian Languages,0,,,,,,,
140,Nexgen Telelinks Pvt. Ltd,Fateh TV,Hindi,0,,,,,,,
141,VINTAGE STUDIO PVT LTD,FM NEWS (EARLIER LIVING INDIA AYUR LIVING INDIA),"Hindi,English",0,,,,,,,
142,Turmeric Vision Private Limited,Food Food TV,Hindi,0,,,,,,,
143,CATVISION LTD,FRANCE 24,French,0,,,,,,,
144,INFORMATION TV PRIVATE LIMITED,Free TV,"Hindi,English,North Indian Languages",0,,,,,,,
145,PRIYAMDA MEDIA & INFOTAINMENT PRIVATE LIMITED,FRONTIER TV,Hindi,0,,,,,,,
146,NEON SOLUTION PVT. LTD,FTV.COM INDIA,English,0,,,,,,,
147,GLOBAL TELECASTING PVT. LTD.,FUN TV,"English,Hindi,All Other Indian Languages",0,,,,,,,
148,ANGEL MEDIA NETWORK PVT LTD,GOD TV,"English,Hindi,Tamil",0,,,,,,,
149,GOODNESS MEDIA PVT LTD,GOODNESS TV,"Malyalam,English",0,,,,,,,
150,GOOD NEWS CHANNEL PRIVATE LIMITED,Goodnews TV,English,0,,,,,,,
151,ESSENCE TELEVISION PVT.LTD.,GRACE TV (Earlier PHENO TV & NEWS MAKERS),All Indian Languages,0,,,,,,,
152,Nomad Films Ltd.,Green TV,"Hindi,English As Well As Few Regional Languages",0,,,,,,,
153,Shreyarth Aaspas Ltd,GSTV (Earier AASPAS TV),"Gujarati,Marathi,Hindi,English,All Other Indian Schedule Languges",0,,,,,,,
154,GULISTAN TV NETWORK PRIVATE LIMITED,GULISTAN NEWS,"Hindi,English,Punjabi,All Other Indian Schedule Language",0,,,,,,,
155,YOGI NETWORKS LTD,GYANA YOGI (Earlier BRINDAVAN TV),"Tamil English,Hindi,,Other South Indian Languages",0,,,,,,,
156,Hare Krsna Content Broadcast Pvt Limited,Hare Krsna,"Hindi,English,All Other Indian Schedule Language",0,,,,,,,
157,VIACOM 18 MEDIA PRIVATE LIMITED,HAWA MAHAL,"Hindi,English,,Other Indian Regional",0,,,,,,,
158,HINDUSTAN BROADCASTING COMPANY PRIVATE LIMITED,HBC NEWS,"Hindi,English Other North Indian Languages",0,,,,,,,
159,HBN Network Private Ltd,HBN,"Hindi,Malayalam,Tamil,English",0,,,,,,,
160,MEDIA WORLDWIDE LIMITED,Hi-Dost!,"Bengali,Hinid,English,Multilingual",0,,,,,,,
161,Landmark Apartment Pvt. Ltd.,Hindi Khabar (Earlier I-Witness),Hindi Language,0,,,,,,,
162,Shreya Broadcasting Pvt. Ltd,Hindu Dharmam,Telugu,0,,,,,,,
163,AETN 18 Media Pvt. Ltd,History TV 18 Tamil,"Tamil,English,All Other Scheduled Indian Languages",0,,,,,,,
164,HYDERABAD MEDIA HOUSE LIMITED,HM TV,"Telugu,Hindi,English,North Indian Languages",0,,,,,,,
165,YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,"HNN 24x7 (earlier Hindustan News Earlier GET PUNJABI, NEWS CHAKRA)","Hindi,English,Punjabi,All Other Indian Schedule Languages",0,,,,,,,
166,MEDIA NETWORK BROADCASTING PVT LTD,HOLIDAYZ,"Hindi,English,All Other Indian Languages",0,,,,,,,
167,TV 18 HOME SHOPPING NETWORK PVT LTD,HomeShop,"Hindi,English",0,,,,,,,
168,NOIDA SOFTWARE TECHNOLOGY PARK LTD.,HOPE TV,"English,Tamil,Hindi,Telugu,Malayalam,Kannada",0,,,,,,,
169,9X MEDIA PRIVATE LIMITED,Housefull Action (earlier 9X BAJAO (Earlier 9X BAJAAO & 9X BANGLA),Hindi,0,,,,,,,
170,VISION CORPORATION LIMITED,"HOUSEFULL MOVIES (EARLIER VISION TV, VISION TV MUSIC)","Hindi,Dialects",0,,,,,,,
171,VEECON MEDIA AND BROADCASTING PVT LTD,HTN News,"Hindi,English,All Other Indian Schedule Language",0,,,,,,,
172,SAURABH INTERNATIONAL PRIVATE LIMITED,I NEWS,"Telugu,English,Hindi,,North Indian Regional Languages",0,,,,,,,
173,KDM MEDIA PRIVATE LIMITED,I PLUS TV (Earlier SHAKTI TV),"Hindi,Punjabi,English",0,,,,,,,
174,S.B.MULTIMEDIA PVT. LTD.,IBC 24 (earlier ZEE 24 GHANTE-CHATTISGARH),Hindi,0,,,,,,,
175,IBC Tamil Private Limited,IBC Tamil,All Indian Languages,0,,,,,,,
176,CHANNEL BHARAT ENTERTAINMENT PRIVATE LIMITED,IMAYAM TV,"Tamil English,Other Regional Languages",0,,,,,,,
177,VIACOM 18 MEDIA PRIVATE LIMITED,IMIX,"Hindi,English,,Other Indian Regional",0,,,,,,,
178,DIRECT NEWS PRIVATE LIMITED,IMN NEWS (NEWS X),"English,Hindi",0,,,,,,,
179,PERFECT-OCTAVE MEDIA PROJECTS LIMITED,IN- SYNC,"Hindi,English",0,,,,,,,
180,ARPAN MEDIA PRIVATE LIMITED,"IND 24 (earlier Live India Kannada, NEWS SUPER FAST)","Hindi,English,All Other Indian Schedule Language",0,,,,,,,
181,ANDHRAPRABHA PUBLICATIONS LIMITED,"INDIA AHEAD (EARLIER BHAARAT TODAY, BHARAT TODAY (Earlier YOUR NEWS))","English,All Other Indian Schedule Languages",0,,,,,,,
182,INFORMATION TV PRIVATE LIMITED,India News,"Hindi,English,North Indian Regional Languages",0,,,,,,,
183,INFORMATION TV PRIVATE LIMITED,India News Haryana,Hindi,0,,,,,,,
184,INFORMATION TV PRIVATE LIMITED,India News Madhya Pradesh Chattisgarh,"Hindi,Other North Indian Regional Languages",0,,,,,,,
185,INFORMATION TV PRIVATE LIMITED,India News Punjab,"Hindi,English,All Other North Indian Languages",0,,,,,,,
186,INFORMATION TV PRIVATE LIMITED,India News Rajasthan,"Hindi,Other North Indian Regional Languages",0,,,,,,,
187,INFORMATION TV PRIVATE LIMITED,India News Uttar Pradesh-Uttarakhand,"English,Hindi",0,,,,,,,
188,INDEPENDENT NEWS SERVICE PVT. LTD,INDIA TV,"English,Hindi",0,,,,,,,
189,INDEPENDENT NEWS SERVICE PVT. LTD,INDIA TV WIZ,"English,Hindi",0,,,,,,,
190,SENTINEL BROADCASTING PVT LTD,India Voice (Earlier SENTINEL NEWS),"English,Hindi,Assamese,Bengali,Khasi,Bodo,Manipuri,Nagamis",0,,,,,,,
191,FUTURE VISION BROADCAT PRIVATE LIMITED,"India Watch (earlier INDIA NOW , Earlier INE LIVE)","Hindi,English All Indian Scheduled Language",0,,,,,,,
192,PINKCITY JEWEL HOUSE PVT. LTD.,INDOLOGY,"Hindi,English,Other Regional Languages",0,,,,,,,
193,PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,INDRADHANU,"Hindi,English,Other India Languages",0,,,,,,,
194,Bhole Baba Real Estate Developers Pvt. Ltd.,INH 24x7 (earlier INDIAN CRIME (Earlier NAV JAGRITI & NSN News),"Hindi,English,All Other Indian Schedules Languages",0,,,,,,,
195,Ishwar Media Private Limited,Ishwar Bhajan,"Hindi,English,Other Indian Scheduled Languages",0,,,,,,,
196,VARUN MEDIA PRIVATE LIMITED,ISHWAR BHAKTI (EARLIER SUKH SAGAR),"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
197,Pen Music Private Limited,ISSAQ,Hindi,0,,,,,,,
198,BHARAT BROADCASTING NETWORK LIMITED,JAI HIND,Malayalam,0,,,,,,,
199,SAHANA FILMS PRIVATE LIMITED,JAI MAHARASHTRA,"Marathi,English,,All Other Indian Scheduled Languages",0,,,,,,,
200,PARSHAVNATH MEDIA PVT. LTD.,JAI PARAS TV,All Indian Languages,0,,,,,,,
201,JAIN STUDIOS LIMITED,JAIN TV,"Hindi,English",0,,,,,,,
202,CSL INFOMEDIA PRIVATE LIMITED,JAN TV,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
203,Janam Multi Media Ltd.,Janam,"English,All Other Schedule Language",0,,,,,,,
204,YASH BROADCASTING INDUSTRIES PRIVATE LIMITED,JANASRI,"Hindi,English,Punjabi",0,,,,,,,
205,NEESA TECHNOLOGIES PVT.LTD.,JANO DUNIYA,"Hindi,English",0,,,,,,,
206,HARI BHOOMI COMMUNICATIONS PVT. LTD,JANTA TV,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
207,SANGEET AUDIO INDIA PRIVATE LIMITED,Jan-Tantra TV (earlier A1 TEHELKA HIMACHAL-HARYANA (Earlier known as HINDUSTAN LIVE /NEWS 17),"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
208,JEEVAN TELECASTING CORPORATION LIMITED,JEEVAN TV,Malayalam,0,,,,,,,
209,BKR international Media Private Limited,JEHOVAH,"Hindi,English,All Other Indian Schedule Languages",0,,,,,,,
210,PRABHATAM ADVERTISING PVT LTD,JIA News (earlier PRABHATAM NEWS GUJARAT),"Gujarati,English,,Other Indian Schedule Language",0,,,,,,,
211,SEA TV NETWORK LIMITED,JINVANI,"Hindi,English",0,,,,,,,
212,Mahesh Hardware & Pipes Pvt. Ltd,Jivan TV (with the tagline- Ke Har Modpar),"Hindi,English,All Scheduled Indian Languages",0,,,,,,,
213,News 24 Broadcast India Ltd,"JK 24*7 (Earlier JK CHANNEL , AAPNO 24 (BIZ 24)",Hindi,0,,,,,,,
214,BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,Jonack (earlier DHOOM /DY 365 ENTERTAINMENT),Assamese,0,,,,,,,
215,ALLIANCE STRATEGIES LIMITED,K NEWS INDIA (earlier MAGIK / Bhojpuria Magic),"Hindi,Bhojpuri,Kumaoni,Garhwali",0,,,,,,,
216,MALAYALAM COMMUNICATIONS LIMITED,KAIRALI,Malayalam,0,,,,,,,
217,MALAYALAM COMMUNICATIONS LIMITED,Kairali News,Malayalam,0,,,,,,,
218,KALAIGNAR TV PRIVATE LIMITED,KALAIGNAR CHITHIRAM,Tamil,0,,,,,,,
219,KALAIGNAR TV PRIVATE LIMITED,KALAIGNAR ISAI ARUVI,Tamil,0,,,,,,,
220,KALAIGNAR TV PRIVATE LIMITED,KALAIGNAR MURASU,Tamil,0,,,,,,,
221,KALAIGNAR TV PRIVATE LIMITED,KALAIGNAR SEITHIGAL,Tamil,0,,,,,,,
222,KALAIGNAR TV PRIVATE LIMITED,KALAIGNAR SIRIPPOLI,Tamil,0,,,,,,,
223,KALAIGNAR TV PRIVATE LIMITED,KALAIGNAR TV,Tamil,0,,,,,,,
224,Kalinga Media & Entertainment Pvt. Ltd.,Kalinga TV,"Hindi,English,Oriya,All Other Schedule Indian Language",0,,,,,,,
