channel,channelNum
Murasu TV,0
MUSIC ACTIVE,
MUSIC ACTIVE HITS,473
MUSIC ACTIVE MASALA,474
NAAPTOL,308
NANDIGHOSHA TV,1367
NAT GEO WILD HD,822
National Geographic Channel,809
National Geographic HD,808
National Geographic Wild,823
Naxatra News,1361
NDTV 24X7,761
NDTV India,659
Nepal One,1537
News 24,661
News Live,1535
News Nation,660
NEWS STATE UP,709
News Time,1473
News18 Assam North East,1533
News18 Bangla,1479
News18 Bihar/Jharkhand,1579
News18 Gujarati,1289
News18 India,663
News18 Kannada,0
News18 Lokmat,1255
News18 Madhya Pradesh/Chhattisgarh,717
News18 Oriya,1355
News18 Punjab Haryana Himachal,1193
News18 Rajasthan,729
News18 Urdu,703
News18 Uttar Pradesh/Uttarakhand,711
Nick HD+,974
Nick Jr.,987
Nickelodeon,975
Offer guru.com,128
OTV,1351
PEACE OF MIND,1087
PITAARA TV,1181
PIX,545
PIX HD,544
Pogo,955
Polimer TV,
PRAG TV,1525
Prameya News7,1363
Prarthana TV,1393
Pratidin Time,1531
Ptc Chakde,1183
PTC News,1191
PTC Punjabi,1154
PTC PUNJABI GOLD,1184
PTC SIMRAN,1195
PUNJABI ACTIVE,1182
PUTHIYA THALAIMURAI,
Puthu Yugam,0
R PLUS,1485
RADIO KASHIR,2211
Raj Digital Plus,0
Raj Music Kannada,0
Raj TV,0
RAMDHENU,1515
Rang,1509
RANGMANCH ACTIVE,356
RENGONI TV,1507
REPUBLIC BHARAT,656
REPUBLIC TV,771
Romedy Now,566
ROMEDY NOW HD,565
Russia Today,792
SAAM TV,1261
SAB,107
SAB HD,106
SADHNA BHAKTI,1059
Safari TV,0
Sakshi TV,0
Sandesh News,1296
Sangeet Bangla,1461
SANGEET BHOJPURI,1573
SANSKAR,1067
Satsang,1065
Seithigal,0
SET HD,104
SHALOM,0
SHEMAROO MARATHIBANA,1215
Shemaroo TV,139
SHORTS TV ACTIVE,135
Shubh Tv,1079
Sirippoli,0
SIX HD,622
SONGDEW,476
Sonic,958
SONY,105
Sony Aath,1407
Sony BBC Earth,829
SONY BBC EARTH HD,828
Sony Marathi,1211
Sony MAX,343
SONY PAL,2422
Sony Six,623
SONY TEN 1,611
SONY TEN 1 HD,610
SONY TEN 2,613
SONY TEN 2 HD,612
SONY TEN 3,615
SONY TEN 3 HD,614
SONY WAH,2414
SONY YAY,989
Sri Sankara TV,0
STAR BHARAT,116
STAR BHARAT HD,115
Star Gold,353
Star Gold 2,357
Star Gold HD,352
STAR GOLD SELECT,382
STAR GOLD SELECT HD,381
Star Jalsha,1404
STAR JALSHA HD,1403
STAR Maa,1606
Star Movies,549
Star Movies HD,548
Star Movies Select HD,577
Star Plus,113
Star Plus HD,112
Star Pravah,1206
Star Pravah HD,1205
Star Sports 1,603
STAR SPORTS 1 HD,602
Star Sports 1 HD Hindi,606
STAR SPORTS 1 HINDI,607
Star sports 2,605
STAR SPORTS 3,649
STAR SPORTS FIRST,2349
Star Sports HD2,604
STAR SPORTS SELECT 1,646
STAR SPORTS SELECT 2,648
Star Sports Select HD1,645
Star Sports Select HD2,647
Star Suvarna Plus,0
STAR UTSAV,2006
STAR UTSAV Movies,2397
STAR Vijay,1806
Star World,509
Star World HD,508
Star World Premiere HD,530
Subhavartha Tv,0
SUDARSHAN NEWS,679
SUN BANGLA,1415
Sun Music,0
Sun Music HD,
Sun News,
SUN TV,1802
Sun Tv HD,0
Surya Cinema,4019
Surya TV,1904
Suvarna News 24x7,0
SVBC,0
T NEWS,0
Tarang,1307
Tarang Music,1341
Tez,677
Thanthi TV,
THRILLER ACTIVE,134
Times Now,767
TIMES NOW WORLD HD,766
TLC,919
TLC HD World,918
Topper TV,133
TV5 Telugu News,0
TV9 Bharatvash,658
TV9 gujarati,1299
TV9 Kannada,1766
TV9 Maharashtra,1259
Udaya Music,0
Udaya TV,1715
