channel,channelNum
Sahara Samay MP/Chhattisgarh ,1157
News18 Urdu ,1173
Zee Salaam ,1175
Channel Win ,1176
Gulistan News ,1179
DD Bharati ,1194
DD Uttar Pradesh ,1195
DD Bihar ,1196
DD Madhya Pradesh ,1197
DD Rajasthan ,1198
DD Urdu ,1199
Colors Marathi HD ,1203
Colors Marathi ,1204
Zee Marathi HD ,1207
Zee Marathi ,1208
Star Pravah HD ,1209
Star Pravah ,1210
ABP Majha ,1213
News18 Lokmat ,1214
Zee 24 Taas ,1215
Zee Yuva ,1216
Zee Talkies HD ,1217
Zee Talkies ,1218
Sony Marathi ,1220
Saam TV ,1222
9X Jhakaas ,1223
Jai Maharashtra ,1224
TV9 Marathi ,1226
Sangeet Marathi ,1228
Fakt Marathi ,1229
Shemaroo Marathi Bana ,1230
AM News ,1232
DD Sahyadri ,1299
ABP Ananda ,1303
Colors Bangla HD ,1304
Colors Bangla ,1305
Zee Bangla HD ,1307
Zee Bangla ,1308
Star Jalsha HD ,1311
Star Jalsha ,1312
Aakaash Aath ,1314
Zee 24 Ghanta ,1315
Sony Aath ,1317
Jalsha Movies HD ,1319
Jalsha Movies ,1320
Sangeet Bangla ,1321
Zee Bangla Cinema ,1322
Star Sports 1 Bangla ,1323
Kolkata TV ,1324
News18 Bangla ,1325
Sun Bangla ,1326
Ruposhi Bangla ,1327
News Time Bangla ,1328
Music Fatafati ,1330
ANB News ,1333
CTVN AKD Plus ,1334
Calcutta News ,1335
Khushboo Bangla ,1337
Bangla Bharat ,1338
DD Bangla ,1399
Gemini Movies HD ,1403
Gemini Movies ,1404
Sakshi TV ,1406
Zee Telugu HD ,1409
Zee Telugu ,1410
Gemini TV HD ,1411
Gemini TV ,1412
Gemini Life ,1414
Gemini Music ,1415
ETV HD ,1416
ETV Telugu ,1417
ETV Andhra Pradesh ,1419
Star Sports 1 Telugu ,1421
Star Maa HD ,1422
Star Maa ,1423
TV5 News ,1425
TV9 Telugu ,1427
NTV Telugu ,1428
Star Maa Movies HD ,1429
Star Maa Movies ,1430
Star Maa Gold ,1431
ABN Andhra Jyothy ,1432
T News ,1433
Star Maa Music ,1435
V6 News ,1436
Gemini Comedy ,1437
Telugu Naaptol ,1439
Bhakti TV ,1440
Subhavaartha TV ,1441
ETV Telengana ,1443
HM TV ,1444
ETV Cinema ,1447
ETV Plus ,1449
ETV Life ,1450
ETV Abhiruchi ,1451
Zee Cinemalu HD ,1453
Zee Cinemalu ,1454
CVR News Telugu ,1457
CVR Spiritual OM ,1459
Raj News Telugu ,1460
Vissa TV ,1461
10 TV ,1462
Aradana TV ,1463
Vanitha TV ,1464
Raj Musix Telugu ,1466
TV1 ,1467
I News ,1474
Swara Sagar ,1475
Hindu Dharmam ,1476
Studio One + ,1477
99 Percent ,1478
4TV News ,1479
SVBC ,1497
DD Saptagiri ,1498
DD Yadagiri ,1499
Sun TV HD ,1503
Sun TV ,1504
KTV HD ,1507
KTV ,1508
Sun Life ,1510
Sun Music HD ,1511
Sun Music ,1512
Star Sports 1 Tamil ,1516
Star Vijay HD ,1517
Star Vijay ,1518
Jaya TV HD ,1519
Zee Tamil HD ,1521
Zee Tamil ,1522
Kalaignar TV ,1523
Raj TV ,1524
Isaiaruvi ,1525
Adithya TV ,1527
Puthiya Thalaimurai ,1529
Vasanth TV ,1530
Murasu TV ,1531
Jaya Max ,1533
Sirippoli ,1534
Polimer TV ,1536
Thanthi TV ,1537
Makkal TV ,1538
Jaya Plus ,1541
D Tamil ,1542
J Movies ,1543
Tamil Naaptol ,1544
Sun News ,1545
News 7 Tamil ,1546
Mega TV ,1547
Polimer News ,1548
Vijay Super ,1549
News18 Tamil Nadu ,1550
Seithigal TV ,1551
Raj Digital Plus ,1552
Raj Musix ,1553
Colors Tamil HD ,1554
Colors Tamil ,1555
Raj News Tamil ,1556
Madha TV ,1557
Angel TV ,1558
Zee Thirai ,1559
Sathiyam TV ,1560
Malaimurasu Seithigal ,1564
Captain News ,1566
Peppers TV ,1568
Mega Musiq ,1572
Mega 24 ,1573
Sahana TV ,1574
Nambikkai TV ,1575
Moon TV ,1577
TravelXP Tamil ,1584
Win TV ,1587
Vendhar TV ,1592
News J ,1593
SVBC 2 ,1598
DD Podhigai ,1599
Udaya TV HD ,1603
Udaya TV ,1604
Udaya Movies ,1606
Colors Kannada HD ,1609
Colors Kannada ,1610
TV9 Kannada ,1612
Udaya Music ,1614
Star Suvarna HD ,1616
Star Suvarna ,1617
Zee Kannada HD ,1620
Zee Kannada ,1621
Kasthuri ,1623
Suvarna News 24x7 ,1625
Udaya Comedy ,1627
Public TV ,1628
Star Suvarna Plus ,1630
News18 Kannada ,1631
Colors Kannada Cinema ,1632
Colors Super ,1633
TV5 Kannada ,1634
Kannada Naaptol ,1635
Raj Musix Kannada ,1636
Sri Sankara TV ,1637
Star Sports 1 Kannada ,1638
Public Music ,1639
Raj News Kannada ,1640
Zee Picchar ,1641
Dighvijay 24x7 News ,1644
Ayush TV ,1650
Public Movies ,1651
DD Chandana ,1699
Colors Gujarati ,1704
Colors Gujarati Cinema ,1706
TV9 Gujarati ,1708
Gujarat Samachar TV ,1710
Sandesh News ,1711
CNBC Bajaar ,1713
News18 Gujarati ,1715
ABP Asmita ,1717
VTV Gujarati ,1718
Zee 24 Kalak ,1719
India News Gujarat ,1721
DD Girnar ,1749
Colors Oriya ,1754
Tarang TV ,1757
Tarang Music ,1759
OTV ,1761
Zee Sarthak ,1765
Prarthana TV ,1766
Zee Odisha ,1768
Kanak News ,1770
Kalinga TV ,1772
Prameya News 7 ,1773
News18 Odia ,1774
Alankar ,1775
Nandighosha TV ,1776
DD Odia ,1799
Surya TV HD ,1803
Surya TV ,1804
Surya Movies ,1806
Asianet HD ,1809
Asianet ,1810
Asianet News ,1811
Asianet Plus ,1812
Asianet Movies ,1815
Amrita TV ,1817
Mazhavil Manorama HD ,1819
Mazhavil Manorama ,1820
People TV ,1821
Kairali TV ,1823
Zee Keralam HD ,1824
Zee Keralam ,1825
Manorama News ,1827
Mathrubhumi News ,1829
Jai Hind TV ,1830
Jeevan TV ,1833
Kappa TV ,1834
Surya Music ,1836
Flowers ,1837
Safari TV ,1838
Goodness ,1839
Media One TV ,1840
Janam TV ,1842
God TV ,1843
SHALOM TV ,1844
Kaumudy ,1845
We TV ,1847
News18 Kerala ,1848
ATE TV ,1849
Raj Musix Malayalam ,1852
Raj News Malayalam ,1853
Surya Comedy ,1854
Twenty four ,1855
DD Malayalam ,1899
MH One ,1904
Zee Punjab Haryana Himachal,1905
Pradesh ,
PTC News ,1906
News18 Punjab Haryana Himachal ,1907
PTC Punjabi ,1910
PTC Chak De ,1911
9X Tashan ,1915
Chardikla Time TV ,1916
India News Punjab ,1917
Manoranjan Movies ,1918
Pitaara TV ,1919
PTC Simran ,1921
